new_var_name,orig_var_name_file,var_name_infile,relm,description
Mass_Conc_OM_NS,Mass_Conc_OM_NS,m01s38i493,mmr,
Mass_Conc_OM_KS,Mass_Conc_OM_KS,m01s38i494,mmr,
Mass_Conc_OM_KI,Mass_Conc_OM_KI,m01s38i497,mmr,
Mass_Conc_OM_AS,Mass_Conc_OM_AS,m01s38i495,mmr,
Mass_Conc_OM_CS,Mass_Conc_OM_CS,m01s38i496,mmr,
mmrtr_OM_NS,mmrtrOM_NS,mmrtr_OM_NS,mmr,
mmrtr_OM_KS,mmrtrOM_KS,mmrtr_OM_KS,mmr,
mmrtr_OM_KI,mmrtrOM_KI,mmrtr_OM_KI,mmr,
mmrtr_OM_AS,mmrtrOM_AS,mmrtr_OM_AS,mmr,
mmrtr_OM_CS,mmrtrOM_CS,mmrtr_OM_CS,mmr,
nconcNS,conccnmodeNS,nconcNS,aerosol,
nconcKS,conccnmodeKS,nconcKS,aerosol,
nconcKI,conccnmodeKI,nconcKI,aerosol,
nconcAS,conccnmodeAS,nconcAS,aerosol,
nconcCS,conccnmodeCS,nconcCS,aerosol,
ddryNS,ddrymodeNS,ddryNS,aerosol,
ddryKS,ddrymodeKS,ddryKS,aerosol,
ddryKI,ddrymodeKI,ddryKI,aerosol,
ddryAS,ddrymodeAS,ddryAS,aerosol,
ddryCS,ddrymodeCS,ddryCS,aerosol,
Temp,T_at_EndOfTimestep,t_at_eot,atmosphere,
SFisoprene,Isoprene_Surf_Emiss,isoprene_emiss,emiss,
SFterpene,Terpene_Surf_Emiss,terpene_emiss,emiss,
Reff_2d_distrib_x_weight,2D_Reff_Distrib_x_Weight,Reff_2d_distrib_x_weight,cloud,
Reff_2d_x_weight_warm_cloud,2D_Reff_x_Weight_WarmCloud,Reff_2d_x_weight_warm_cloud,cloud,
area_cloud_fraction_in_each_layer,Area_CloudFrac_InEachLayer,area_cloud_fraction_in_each_layer,cloud,
bulk_cloud_fraction_in_each_layer,Bulk_CloudFrac_InEachLayer,bulk_cloud_fraction_in_each_layer,cloud,
cloud_ice_content_after_ls_precip,Cloud_Ice_Content,cloud_ice_content_after_ls_precip,cloud,
dry_rho,DRY_RHO,dry_rho,cloud,
frozen_cloud_fraction_in_each_layer,Frozen_CloudFrac_InEachLayer,frozen_cloud_fraction_in_each_layer,cloud,
liq_cloud_fraction_in_each_layer,Liquid_CloudFrac_InEachLayer,liq_cloud_fraction_in_each_layer,cloud,
qcf,QCF,qcf,cloud,
qcl,QCL,qcl,cloud,
supercooled_liq_water_content,Supercooled_Liq_Water_Content,supercooled_liq_water_content,cloud,
weight_Reff_2d_distrib,Weight_2D_Reff_Distrib,weight_Reff_2d_distrib,cloud,
weight_Reff_2d,2D_Reff_WarmCloud,weight_Reff_2d,cloud,
cdnc_top_cloud_x_weight,CDNC_at_CloudTop_x_Weight,cdnc_top_cloud_x_weight,cdnc,
weight_of_cdnc_top_cloud,Weight_for_CDNC_at_CloudTop,weight_of_cdnc_top_cloud,cdnc,
ls_lwp,Large_Scale_LWP,ls_lwp,atmosphere,
ls_iwp,Large_Scale_IWP,ls_iwp,atmosphere,
conv_iwp,Convective_IWP,conv_iwp,atmosphere,
conv_lwp,Convective_LWP,conv_lwp,atmosphere,
rho,rho,rho,atmosphere,
layer_thickness,layer_thickness,layer,,




