var_code,varname,orig_varn,long_name,units,Note
emiterp,emiterp,emiterp,Emissions monoterpene,kg/s/m2,
emiisop,emiisop,emiisop,Emissions isoprene,kg/s/m2,
loadsoa,loadsoa,loadsoa,,kg m-3,
loadoa,loadoa,loadoa,,kg m-2',
od350aer,od350aer,od350aer,,-,
od440aer,od440aer,od440aer,,-,
od550aer,od550aer,od550aer,,-,
od870aer,od870aer,od870aer,,-,
N_NUS,N_NUS,N_NUS,,1 m-3,
N_AIS,N_AIS,N_AIS,,1 m-3,
N_ACS,N_ACS,N_ACS,,1 m-3,
N_COS,N_COS,N_COS,,1 m-3,
N_AII,N_AII,N_AII,,1 m-3,
N_ACI,N_ACI,N_ACI,,1 m-3,
N_COI,N_COI,N_COI,,1 m-3,
RWET_NUS,RWET_NUS,RWET_NUS,,m,
RWET_AIS,RWET_AIS,RWET_AIS,,m,
RWET_ACS,RWET_ACS,RWET_ACS,,m,
RWET_COS,RWET_COS,RWET_COS,,m,
RWET_ACI,RWET_ACI,RWET_ACI,,m,
RWET_COI,RWET_COI,RWET_COI,,m,
RWET_AII,RWET_AII,RWET_AII,,m,
RDRY_NUS,RDRY_NUS,RDRY_NUS,,m,
RDRY_AIS,RDRY_AIS,RDRY_AIS,,m,
RDRY_ACS,RDRY_ACS,RDRY_ACS,,m
RDRY_COS,RDRY_COS,RDRY_COS,,m
CCN0.20,CCN0.20,CCN0.20,,cm-3
CCN1.00,CCN1.00,CCN1.00,,cm-3
var130,temp,temp,Temperature,K
var176,surf_net_srad,ssr,Surface net solar radiation,J m-2,
var177,surf_net_lrad,str,Surface net thermal radiation,J m-2,
var208,toa_net_srad_clear,tsrc,"Top net solar radiation, clear sky",J m-2,
var209,toa_net_lrad_clear,ttrc,"Top net thermal radiation, clear sky",J m-2,
var210,surf_net_srad_clear,ssrc,"Surface net solar radiation, clear sky",J m-2,
var211,sur_net_lrad_clear,strc,"Surface net thermal radiation, clear sky",J m-2,
var70,surf_net_srad_clearclean,,"Surface net solar radiation, clear sky, clean sky",J m-2,
var71,surf_net_srad_clean,,"Surface net solar radiation, clean sky",J m-2,
var73,toa_net_lrad_clean,,"Top net thermal radiation, clean sky",J m-2,
var74,surf_net_lrad_clearclean,,"Surface net thermal radiation, clear sky, clean sky",J m-2,
var75,surf_net_lrad_clean,,"Surface net thermal radiation, clean sky",J m-2,
var78,tclw,tclw,Total column cloud liquid water,kg m-2,
var79,tciw,tciw,Total column cloud ice water,kg m-2,
var136,tcw,tcw,Total column water,kg m-2,
var137,tcwv,tcwv,Total column vertically-integrated water vapour,kg m-2,
var164,ttc,ttc,Total cloud cover,1,
var178,toa_net_srad,tsr,Top net solar radiation,J m-2,
var179,toa_net_lrad,ttr,Top net thermal radiation,J m-2,
var20,cdnc,cdnc,Cloud Droplet Number Concentration,cm-3,"""Note that CDNC needs to be converted to the correct unit in a post-processing"""
var21,re_liq,re_liq, effective radius liquid, um,
var22,liq_cloud_time,liq_cloud_time, cloud time,sec,
var248,cc,cc,Fraction of cloud cover,1,
var68,toa_net_srad_clearclean,,"Top net solar radiation, clear sky, clean sky",J m-2,
var69,toa_net_srad_clean,,"Top net solar radiation, clean sky",J m-2,
