stream,varname,category,long_name,description,units,time resolution,horizontal resolution,vertical resolution
apm,apm,DIAGNOSTICS,Air pressure at mid-layer,Atmospheric pressure at mid-layer,Pa,1 hour,Stations,L47
geom,geom,DIAGNOSTICS,geopotential height,geopotential height,m3 s-2,1 hour,Stations,L47
airdens,airdens_radlayer,DIAGNOSTICS,air density,air density,kg m-3,1 hour,T63,L47
tempair,tempair,METEOROLOGY VARIABLES,air temperature,air_temperature,K,1 hour,T63,L47
uw,uw,METEOROLOGY VARIABLES,eastward wind,eastward wind,m s-1,1 hour,T63,L47
vw,vw,METEOROLOGY VARIABLES,northward wind,northward wind,m s-1,1 hour,T63,L47
ccn02,ccn02,CLOUD VARIABLES,CCN 0.2 percent super sat,CCN 0.2 percent super saturation,m-3,1 hour,T63,L47
ccn10,ccn10,CLOUD VARIABLES,CCN 1.0 percent super sat,CCN 1.0 percent super saturation,m-3,1 hour,T63,L47
cod,cod,CLOUD VARIABLES,cloud optical thickness,cloud optical thickness,1,1 hour,T63,none
cwp,cwp,CLOUD VARIABLES,cloud liquid water path,cloud liquid water path,kg m-2,1 hour,T63,none
ceff,ceff,CLOUD VARIABLES,in-cloud droplet effective radius,in-cloud droplet effective radius,m,1 hour,T63,L47
ceff_ct,ceff_ct,CLOUD VARIABLES,cloud droplet effective radius cloud top,cloud droplet effective radius cloud top,um,1 hour,T63,none
lcdnc,lcdnc,CLOUD VARIABLES,liquid_cloud_droplet_number_concentration,Liquid cloud droplet number concentration,m-3,1 hour,T63,L47
lcdnc_ct,lcdnc_ct,CLOUD VARIABLES,liquid_cloud_droplet_number_concentration_cloud_top,Liquid cloud droplet number concentration cloud top,cm-3,1 hour,T63,L47
clfr,clfr,CLOUD VARIABLES,cloud_fraction,cloud fraction,1,1 hour,T63,L47
cl_time,cl_time,CLOUD VARIABLES,cloud_time,cloud time,1,1 hour,T63,L47
