var_code,varname,orig_varn,long_name,units,Note
PCT_NAT_PFT,PCT_NAT_PFT,PCT_NAT_PFT,"% of each PFT on the natural vegetation (i.e., soil) landunit",%,
PCT_LANDUNIT,PCT_LANDUNIT,PCT_LANDUNIT,% of each landunit on grid cell,%,
PCT_CFT,PCT_CFT,PCT_CFT,% of each crop on the crop landunit,%,
PFT_FIRE_CLOSS,PFT_FIRE_CLOSS,PFT_FIRE_CLOSS,total patch-level fire C loss for non-peat fires outside land-type converted region,gCm-2s-1,
PFT_FIRE_NLOSS,PFT_FIRE_NLOSS,PFT_FIRE_NLOSS,total patch-level fire N loss,gNm-2s-1,
TLAI,TLAI,TLAI,total projected leaf area index,m2m-2,
LAISUN,LAISUN,LAISUN,sunlit projected leaf area index,m2m-2,
LAISHA,LAISHA,LAISHA,shaded projected leaf area index,m2m-2,
ELAI,ELAI,ELAI,exposed one-sided leaf area index,m2m-2,
MEG_limonene,MEG_limonene,MEG_limonene,MEGAN flux,kg m-2 s-1,
MEG_sabinene,MEG_sabinene,MEG_sabinene,MEGAN flux,kg m-2 s-1,
MEG_pinene_b,MEG_pinene_b,MEG_pinene_b,MEGAN flux,kg m-2 s-1,
MEG_pinene_a,MEG_pinene_a,MEG_pinene_a,MEGAN flux,kg m-2 s-1,
MEG_ocimene_t_b,MEG_ocimene_t_b,MEG_ocimene_t_b,MEGAN flux,kg m-2 s-1,
MEG_myrcene,MEG_myrcene,MEG_myrcene,MEGAN flux,kg m-2 s-1,
MEG_isoprene,MEG_isoprene,MEG_isoprene,MEGAN flux,kg m-2 s-1,
MEG_carene_3,MEG_carene_3,MEG_carene_3,MEGAN flux,kg m-2 s-1,
H2OSOI,H2OSOI,H2OSOI,volumetric soil water (vegetated landunits only),mm3/mm3,
QSOIL,QSOIL,QSOIL,Ground evaporation (soil/snow evaporation + soil/snow sublimation - dew),mms-1,
SOILLIQ,SOILLIQ,SOILLIQ,soil liquid water (vegetated landunits only),kg m-2,
SOILRESIS,SOILRESIS,SOILRESIS,soil resistance to evaporation,s/m,
TOTSOILLIQ,TOTSOILLIQ,TOTSOILLIQ,vertically summed soil liquid water (veg landunits only),kg m-2,
