var_code,varname,orig_varn,long_name,units,Note
apm,apm,apm,Air pressure at mid-layer,Pa,
geom,geom,geom,geopotential height,m3 s-2,
airdens,airdens_radlayer,airdens,air density,kg m-3,
tempair,tempair,tempair,air temperature,K,
uw,uw,uw,eastward wind,m s-1,
vw,vw,vw,northward wind,m s-1,
ccn02,ccn02,ccn02,CCN 0.2 percent super saturation,m-3,
ccn10,ccn10,ccn10,CCN 1.0 percent super saturation,m-3,
cod,cod,cod,cloud optical thickness,1,
cwp,cwp,cwp, cloud liquid water path,kg m-2,
ceff,ceff,ceff,in-cloud droplet effective radius,m,
ceff_ct,ceff_ct,ceff_ct,cloud droplet effective radius cloud top,μm,
lcdnc,lcdnc,lcdnc,Liquid cloud droplet number concentration,m-3,
lcdnc_ct,lcdnc_ct,lcdnc_ct,Liquid cloud droplet number concentration cloud top,cm-3,
clfr,clfr,clfr,cloud fraction,1,
cl_time,cl_time,cl_time,cloud time,1,
aot550nm,aot550nm,aot550nm,AOT total 550 nm,1,
aot865nm,aot865nm,aot865nm,AOT total 865 nm,1,
ang550865,ang550865,ang550865,Angstroem parameter between 550 and 865 nm,1,
up_sw,up_sw,up_sw,TOA upward shortwave flux,W m-2,
up_sw_cs,up_sw_cs,up_sw_cs,TOA upward shortwave flux clear sky,W m-2,
up_sw_noa,up_sw_noa,up_sw_noa,TOA upward shortwave flux no aerosols,W m-2,
up_sw_cs_noa,up_sw_cs_noa,up_sw_cs_noa,TOA upward shortwave flux clear sky no aerosols,W m-2,
up_lw,up_lw,up_lw,TOA upward longwave flux,W m-2,
up_lw_cs,up_lw_cs,up_lw_cs,TOA upward longwave flux clear sky,W m-2,
up_lw_noa,up_lw_noa,up_lw_noa,TOA upward longwave flux no aerosols,W m-2,
up_lw_cs_noa,up_lw_cs_noa,up_lw_cs_noa,TOA upward longwave flux clear sky no aerosols,W m-2,
mmrtrN500,mmrtrN500,mmrtrN500,number mixing ratio of N500,kg-1,
mmrtrN250,mmrtrN250,mmrtrN250,number mixing ratio of N250,kg-1,
mmrtrN200,mmrtrN200,mmrtrN200,number mixing ratio of N200,kg-1,
mmrtrN100,mmrtrN100,mmrtrN100,number mixing ratio of N100,kg-1,
mmrtrN50,mmrtrN50,mmrtrN50,number mixing ratio of N50,kg-1,
mmrtrN3,mmrtrN3,mmrtrN3,number mixing ratio of N3,kg-1,
oh_con,oh_con,oh_con,OH concentration gas phase,cm-3,
emi_monot_bio,emi_monot_bio,emi_monot_bio,Emissions of biogenic monoterpenes,kg m-2 s-1,
emi_isop_bio,emi_isop_bio,emi_isop_bio,Emissions of biogenic isoprene,kg m-2 s-1,
SO2_gas,SO2_gas,SO2_gas,SO2 mass mixing ratio – gas,kg kg-1,
APIN_gas,APIN_gas,APIN_gas,A-pinene mass mixing ratio – gas,kg kg-1,
TBETAOCI_gas,TBETAOCI_gas,TBETAOCI_gas,T-beta-ocimene mass mixing ratio – gas,kg kg-1,
BPIN_gas,BPIN_gas,BPIN_gas,B-pinene mass mixing ratio – gas,kg kg-1,
LIMON_gas,LIMON_gas,LIMON_gas,Limonene mass mixing ratio – gas,kg kg-1,
SABIN_gas,SABIN_gas,SABIN_gas,Sabinene mass mixing ratio – gas,kg kg-1,
MYRC_gas,MYRC_gas,MYRC_gas,Myrcene mass mixing ratio – gas,kg kg-1,
CARENE3_gas,CARENE3_gas,CARENE3_gas,3-carene mass mixing ratio – gas,kg kg-1,
ISOP_gas,ISOP_gas,ISOP_gas,Isoprene mass mixing ratio – gas,kg kg-1,
VBS0_gas,VBS0_gas,VBS0_gas,Volatility Basis set C*=0 mass mixing ratio - gas,kg kg-1,
VBS1_gas,VBS1_gas,VBS1_gas,Volatility Basis set C*=1 mass mixing ratio - gas,kg kg-1,
VBS10_gas,VBS10_gas,VBS10_gas,Volatility Basis Set C*=10 mass mixing ratio - gas,kg kg-1,
ORG_mass,ORG_mass,ORG_mass,Total organic aerosol mass mixing ratio,kg kg-1,

