var_code,varname_file,orig_varn,long_name,units,Note
ABSVIS,ABSVIS,ABSVIS,Aerosol absorptive optical depth at 0.442-0.625μm,1,,
ACTNL,ACTNL,ACTNL,Average Cloud Top droplet number,cm-3,Must be divided by FCTL to get in-cloud,
ACTREI,ACTREI,ACTREI,Average Cloud Top ice effective radius,μm,Must be divided by FCTI to get in-cloud,
ACTREL,ACTREL,ACTREL,Average Cloud Top droplet effective radius,μm,Must be divided by FCTL to get in-cloud,
AEROD_v,AEROD_v,AEROD_v,Total Aerosol Optical Depth in visible band,1,,
AREL,AREL,AREL,Average droplet effective radius,μm,Must be divided by FREQL to get in-cloud value,
ASYMMDRY,ASYMMDRY,ASYMMDRY,Dry asymmetry factor in visible wavelength band,1,,
AWNC,AWNC,AWNC,Average cloud water number conc,cm-3,Must be divided by FREQL to get in-cloud value
AOD_VIS,AOD_VIS,AOD_VIS,Aerosol optical depth at 0.442-0.625μm,1,
BC_A,BC_A,BC_A,BC_A concentration,kg/kg,
BC_AC,BC_AC,BC_AC,BC_AC concentration,kg/kg,
BC_AI,BC_AI,BC_AI,BC_AI concentration,kg/kg,
BC_AX,BC_AX,BC_AX,BC_AX concentration,kg/kg,
BC_N,BC_N,BC_N,BC_N concentration,kg/kg,
BC_NI,BC_NI,BC_NI,BC_NI concentration,kg/kg,
BETOTVIS,BETOTVIS,BETOTVIS,Aerosol 3d extinction at 0.442-0.625,1/km,
BS550AER,BS550AER,BS550AER,aerosol backscatter coefficient,m-1 sr-1,
CCN1,CCN1,CCN1,CCN concentration at S=0.02%,cm-3,
CCN2,CCN2,CCN2,CCN concentration at S=0.05%,cm-3,
CCN3,CCN3,CCN3,CCN concentration at S=0.1%,cm-3,
CCN4,CCN4,CCN4,CCN concentration at S=0.15%,cm-3,
CCN5,CCN5,CCN5,CCN concentration at S=0.2%,cm-3,
CCN6,CCN6,CCN6,CCN concentration at S=0.5%,cm-3,
CCN7,CCN7,CCN7,CCN concentration at S=1.0%,cm-3,
CCN_B,CCN_B,CCN_B,Average Cloud Top liquid CCN (Bennartz),m-3,
CDNUMC,CDNUMC,CDNUMC,Vertically-integrated droplet concentration,m-2,
CLDFREE,CLDFREE,CLDFREE,Cloud free fraction wrt CAODVIS and CABSVIS,1,
CLDTOT,CLDTOT,CLDTOT,Vertically-integrated total cloud,fraction,
COAGNUCL,COAGNUCL,COAGNUCL,Coagulation sink for nucleating particles,s-1,
D500_BC,D500_BC,D500_BC,BC aerosol optical depth 500nm,1,
D500_DU,D500_DU,D500_DU,mineral aerosol optical depth 500nm,1,
D500_POM,D500_POM,D500_POM,OC aerosol optical depth 500nm,1,
D500_SO4,D500_SO4,D500_SO4,SO4 aerosol optical depth 500nm,1,
D500_SS,D500_SS,D500_SS,sea-salt aerosol optical depth 500nm,1,
DAERH2O,DAERH2O,DAERH2O,Aerosol water load,mg m-2,
DER,DER,DER,Effective aerosol dry radius,μm,
DERGT05,DERGT05,DERGT05,Effective aerosol dry radius>0.5μm,μm,
DERLT05,DERLT05,DERLT05,Effective aerosol dry radius<0.5μm,μm,
DMS,DMS,DMS,DMS concentration,mol/mol,
DOD440,DOD440,DOD440,Aerosol optical depth at 440nm,1,
DOD500,DOD500,DOD500,Aerosol optical depth at 500nm,1,
DOD550,DOD550,DOD550,Aerosol optical depth at 550nm,1,
DOD670,DOD670,DOD670,Aerosol optical depth at 670nm,1,
DOD870,DOD870,DOD870,Aerosol optical depth at 870nm,1,
DST_A2,DST_A2,DST_A2,DST_A2 concentration,kg/kg,
DST_A3,DST_A3,DST_A3,DST_A3 concentration,kg/kg,
EC550AER,EC550AER,EC550AER,aerosol extinction coefficient,m-1,
FCTI,FCTI,FCTI,Fractional occurrence of cloud top ice,fraction,
FCTL,FCTL,FCTL,Fractional occurrence of cloud top liquid,fraction,
FLNS,FLNS,FLNS,Net longwave flux at surface,W m-2,
FLNSC,FLNSC,FLNSC,Clearsky net longwave flux at surface,W m-2,
FLNT,FLNT,FLNT,Net longwave flux at top of model,W m-2,
FLNTCDRF,FLNTCDRF,FLNTCDRF,Clear sky total column longwave flux (DIRind),Wm-2,
FLNT_DRF,FLNT_DRF,FLNT_DRF,Total column longwave flux (DIRind),Wm-2,
FLUS,FLUS,FLUS,LW surface upwelling flux,Wm-2,
FLUTC,FLUTC,FLUTC,Clearsky upwelling longwave flux at top of model,W m-2,
FORMRATE,FORMRATE,FORMRATE,Formation rate of 12nm particles,cm-3s-1,
FREQI,FREQI,FREQI,Fractional occurrence of ice,fraction,
FREQL,FREQL,FREQL,Fractional occurrence of liquid,fraction,
FSDSCDRF,FSDSCDRF,FSDSCDRF,SW downwelling clear sky flux at surface,Wm-2,
FSDS_DRF,FSDS_DRF,FSDS_DRF,SW downelling flux at surface,Wm-2,
FSNS,FSNS,FSNS,Net solar flux at surface,W m-2,
FSNSC,FSNSC,FSNSC,Clearsky net solar flux at surface,W m-2,
FSNT,FSNT,FSNT,Net solar flux at top of model,W m-2,
FSNTCDRF,FSNTCDRF,FSNTCDRF,Clear sky total column absorbed solar flux (DIRind),W m-2,
FSNT_DRF,FSNT_DRF,FSNT_DRF,Total column absorbed solar flux (DIRind),W m-2,
FSUS_DRF,FSUS_DRF,FSUS_DRF,SW upwelling flux at surface,W m-2,
FSUTADRF,FSUTADRF,FSUTADRF,SW upwelling flux at TOA,W m-2,
GR,GR,GR,"Growth rate, H2SO4+SOA",nm h-1,
GRH2SO4,GRH2SO4,GRH2SO4,Growth rate H2SO4,nm h-1,
GRIDAREA,GRIDAREA,GRIDAREA,Grid area for 1.9x2.5 horizontal resolution,m2,
GRSOA,GRSOA,GRSOA,Growth rate from SOA nucleating particles,nm h-1,
H2SO4,H2SO4,H2SO4,H2SO4 concentration,mol/mol,
MMR_AH2O,MMR_AH2O,MMR_AH2O,Aerosol water mmr,kg/kg,
NCONC01,NCONC01,NCONC01,number concentration mode 01,cm-3,
NCONC02,NCONC02,NCONC02,number concentration mode 02,cm-3,
NCONC03,NCONC03,NCONC03,number concentration mode 03,cm-3,
NCONC04,NCONC04,NCONC04,number concentration mode 04,cm-3,
NCONC05,NCONC05,NCONC05,number concentration mode 05,cm-3,
NCONC06,NCONC06,NCONC06,number concentration mode 06,cm-3,
NCONC07,NCONC07,NCONC07,number concentration mode 07,cm-3,
NCONC08,NCONC08,NCONC08,number concentration mode 08,cm-3,
NCONC09,NCONC09,NCONC09,number concentration mode 09,cm-3,
NCONC10,NCONC10,NCONC10,number concentration mode 10,cm-3,
NCONC11,NCONC11,NCONC11,number concentration mode 11,cm-3,
NCONC12,NCONC12,NCONC12,number concentration mode 12,cm-3,
NCONC13,NCONC13,NCONC13,number concentration mode 13,cm-3,
NCONC14,NCONC14,NCONC14,number concentration mode 14,cm-3,
NMR01,NMR01,NMR01,number median radius mode 01,nm,
NMR02,NMR02,NMR02,number median radius mode 02,nm,
NMR03,NMR03,NMR03,number median radius mode 03,nm,
NMR04,NMR04,NMR04,number median radius mode 04,nm,
NMR05,NMR05,NMR05,number median radius mode 05,nm,
NMR06,NMR06,NMR06,number median radius mode 06,nm,
NMR07,NMR07,NMR07,number median radius mode 07,nm,
NMR08,NMR08,NMR08,number median radius mode 08,nm,
NMR09,NMR09,NMR09,number median radius mode 09,nm,
NMR10,NMR10,NMR10,number median radius mode 10,nm,
NMR11,NMR11,NMR11,number median radius mode 11,nm,
NMR12,NMR12,NMR12,number median radius mode 12,nm,
NMR13,NMR13,NMR13,number median radius mode 13,nm,
NMR14,NMR14,NMR14,number median radius mode 14,nm,
NNAT_0,NNAT_0,NNAT_0,Aerosol mode 0 number concentration,cm-3,
NUCLRATE,NUCLRATE,NUCLRATE,Nucleation rate,cm-3s-1,
OD550DRY,OD550DRY,OD550DRY,Dry aerosol optical depth at 550nm,1,
OM_AC,OM_AC,OM_AC,OM_AC concentration,kg/kg,
OM_AI,OM_AI,OM_AI,OM_AI concentration,kg/kg,
OM_NI,OM_NI,OM_NI,OM_NI concentration,kg/kg,
P0,P0,P0,reference pressure,Pa,
PM25,PM25,PM25,Aerosol PM2.5,μm m-3,
PM2P5,PM2P5,PM2P5,3D aerosol PM2.5,μm m-3,
PMTOT,PMTOT,PMTOT,"Aerosol PM, all sizes",μm m-3,
PS,PS,PS,Surface pressure,Pa,
RHW,RHW,RHW,Relative humidity with respect to liquid,percent,
SFisoprene,SFisoprene,SFisoprene,isoprene surface flux,kg m-2s-1,
SFmonoterp,SFmonoterp,SFmonoterp,monoterp surface flux,kg m-2s-1,
SIGMA01,SIGMA01,SIGMA01,Std. dev. mode 01,1,
SIGMA02,SIGMA02,SIGMA02,Std. dev. mode 02,1,
SIGMA03,SIGMA03,SIGMA03,Std. dev. mode 03,1,
SIGMA04,SIGMA04,SIGMA04,Std. dev. mode 04,1,
SIGMA05,SIGMA05,SIGMA05,Std. dev. mode 05,1,
SIGMA06,SIGMA06,SIGMA06,Std. dev. mode 06,1,
SIGMA07,SIGMA07,SIGMA07,Std. dev. mode 07,1,
SIGMA08,SIGMA08,SIGMA08,Std. dev. mode 08,1,
SIGMA09,SIGMA09,SIGMA09,Std. dev. mode 09,1,
SIGMA10,SIGMA10,SIGMA10,Std. dev. mode 10,1,
SIGMA11,SIGMA11,SIGMA11,Std. dev. mode 11,1,
SIGMA12,SIGMA12,SIGMA12,Std. dev. mode 12,1,
SIGMA13,SIGMA13,SIGMA13,Std. dev. mode 13,1,
SIGMA14,SIGMA14,SIGMA14,Std. dev. mode 14,1,
SO2,SO2,SO2,SO2 concentration,mol/mol,
SO4_A1,SO4_A1,SO4_A1,SO4_A1 concentration,kg/kg,
SO4_A2,SO4_A2,SO4_A2,SO4_A2 concentration,kg/kg,
SO4_AC,SO4_AC,SO4_AC,SO4_AC concentration,kg/kg,
SO4_NA,SO4_NA,SO4_NA,SO4_NA concentration,kg/kg,
SO4_PR,SO4_PR,SO4_PR,SO4_PR concentration,kg/kg,
SOA_A1,SOA_A1,SOA_A1,SOA_A1 concentration,kg/kg,
SOA_LV,SOA_LV,SOA_LV,SOA_LV concentration,mol/mol,
SOA_NA,SOA_NA,SOA_NA,SOA_NA concentration,kg/kg,
SOA_SV,SOA_SV,SOA_SV,SOA_SV concentration,mol/mol,
SS_A1,SS_A1,SS_A1,SS_A1 concentration,kg/kg,
SS_A2,SS_A2,SS_A2,SS_A2 concentration,kg/kg,
SS_A3,SS_A3,SS_A3,SS_A3 concentration,kg/kg,
T,T,T,Temperature,K,
TGCLDCWP,TGCLDCWP,TGCLDCWP,Total grid-box cloud water path (liquid and ice),kg m-2,
TGCLDIWP,TGCLDIWP,TGCLDIWP,Total grid-box cloud ice water path,kg m-2,
TGCLDLWP,TGCLDLWP,TGCLDLWP,Total grid-box cloud liquid water path,kg m-2,
TOT_CLD_VISTAU,TOT_CLD_VISTAU,TOT_CLD_VISTAU,Total gbx cloud extinction visible sw optical depth,1,
TOT_ICLD_VISTAU,TOT_ICLD_VISTAU,TOT_ICLD_VISTAU,Total in-cloud extinction visible sw optical depth,1,
U,U,U,Zonal wind,ms-1,
V,V,V,Meridional wind,ms-1,
datesec,datesec,datesec,current seconds of current date,s,
gw,gw,gw,latitude weights,1,
hyai,hyai,hyai,hybrid A coefficient at layer interfaces,1,
hyam,hyam,hyam,hybrid A coefficient at layer midpoints,1,
hybi,hybi,hybi,hybrid B coefficient at layer interfaces,1,
hybm,hybm,hybm,hybrid B coefficient at layer midpoints,1,
isoprene,isoprene,isoprene,isoprene concentration,mol/mol,
monoterp,monoterp,monoterp,monoterp concentration,mol/mol,
