var_code,varname,orig_varn,long_name,units,Note
airdens,airdens_radlayer,airdens_radlayer,air density,kg m-3,
tempair,tempair,tempair,air_temperature,K,
uw,uw,uw,eastward wind,m s-1,
vw,vw,vw,northward wind,m s-1,
ccn02,ccn02,ccn02,CCN 0.2 percent super saturation,m-3,
ccn10,ccn10,ccn10,CCN 1.0 percent super saturation,m-3,
cod,cod,cod ,cloud optical thickness,1,
cwp,cwp,cwp ,cloud liquid water path,kg m-2,
ceff,ceff,ceff,in-cloud droplet effective radius,m,
ceff_ct,ceff_ct,ceff_ct ,cloud droplet effective radius cloud top,μm,
lcdnc,lcdnc,lcdnc,Liquid cloud droplet number concentration,m-3,
lcdnc_ct,lcdnc_ct,lcdnc_ct,Liquid cloud droplet number concentration cloud top,cm-3,
clfr,clfr,clfr,cloud fraction,1,
cl_time,cl_time,cl_time,cloud time,1,
aot550nm,aot550nm,aot550nm ,AOT total 550 nm,1,
up_sw,up_sw,up_sw,TOA upward shortwave flux,W m-2,
up_sw_cs,up_sw_cs,up_sw_cs,TOA upward shortwave flux clear sky,W m-2,
up_sw_noa,up_sw_noa,up_sw_noa,TOA upward shortwave flux no aerosols,W m-2,
up_sw_cs_noa,up_sw_cs_noa,up_sw_cs_noa,TOA upward shortwave flux clear sky no aerosols,W m-2,
up_lw,up_lw,up_lw,TOA upward longwave flux,W m-2,
up_lw_cs,up_lw_cs,up_lw_cs,TOA upward longwave flux clear sky,W m-2,
up_lw_noa,up_lw_noa,up_lw_noa,TOA upward longwave flux no aerosols,W m-2,
up_lw_cs_noa,up_lw_cs_noa,up_lw_cs_noa,TOA upward longwave flux clear sky no aerosols,W m-2,
emi_monot_bio,emi_monot_bio,emi_monot_bio,Emissions of biogenic monoterpenes,kg m-2 s-1,
emi_isop_bio,emi_isop_bio,emi_isop_bio,Emissions of biogenic isoprene,kg m-2 s-1,
ORG_mass,ORG_mass,ORG_mass,Total organic aerosol mass mixing ratio,kg kg-1,
