var_code,varname,orig_varn,long_name,units,Note
Temp,T_at_EndOfTimestep,t_at_eot,Temperature,K,
SFisoprene,Isoprene_Surf_Emiss,isoprene_emiss,Emissions isoprene,kg m-2 s-1,
SFterpene,Terpene_Surf_Emiss,terpene_emiss,Emissions isoprene,kg m-2 s-1,
Reff_2d_distrib_x_weight,2D_Reff_Distrib_x_Weight,Reff_2d_distrib_x_weight,2D field r_eff distribution x weight,μm, Must be divided by weight_Reff_2d_distrib
Reff_2d_x_weight_warm_cloud,2D_Reff_x_Weight_WarmCloud,Reff_2d_x_weight_warm_cloud,2D field r_eff distribution x weight warm clouds,μm, Must be divided by weight_Reff_2d
area_cloud_fraction_in_each_layer,Area_CloudFrac_InEachLayer,area_cloud_fraction_in_each_layer,Area Cloud Fraction in each layer,1,
bulk_cloud_fraction_in_each_layer,Bulk_CloudFrac_InEachLayer,bulk_cloud_fraction_in_each_layer,Bulk Cloud Fraction in each layer,1,
cloud_ice_content_after_ls_precip,Cloud_Ice_Content,cloud_ice_content_after_ls_precip,cloud ice content after large scale precipitation,kg m-3,
dry_rho,DRY_RHO,dry_rho,air density dry,kg m-3,
frozen_cloud_fraction_in_each_layer,Frozen_CloudFrac_InEachLayer,frozen_cloud_fraction_in_each_layer,frozen cloud fraction in each layer,1,
liq_cloud_fraction_in_each_layer,Liquid_CloudFrac_InEachLayer,liq_cloud_fraction_in_each_layer,liquid cloud fraction in each layer,1,
qcf,QCF,qcf,cloud water in air frozen,kg kg-1,
qcl,QCL,qcl,cloud water in air liquid,kg kg-1,
supercooled_liq_water_content,Supercooled_Liq_Water_Content,supercooled_liq_water_content,supercooled liq water content,kg m-3,
weight_Reff_2d_distrib,Weight_2D_Reff_Distrib,weight_Reff_2d_distrib,weights reff 2d distribution,1,
weight_Reff_2d,2D_Reff_WarmCloud,weight_Reff_2d,weights reff 2d distribution warm clouds,1,
cdnc_top_cloud_x_weight,CDNC_at_CloudTop_x_Weight,cdnc_top_cloud_x_weight,cloud droplet number concentration,m-3,
weight_of_cdnc_top_cloud,Weight_for_CDNC_at_CloudTop,weight_of_cdnc_top_cloud,cloud droplet number concentration at cloud top,m-3,
ls_lwp,Large_Scale_LWP,ls_lwp,Large scale liquid water path,kg m-2,
ls_iwp,Large_Scale_IWP,ls_iwp,Large scale ice water path,kg m-2,
conv_iwp,Convective_IWP,conv_iwp,Convective ice water path,kg m-2,
conv_lwp,Convective_LWP,conv_lwp,Convective liquid water path,kg m-2,
rho,rho,rho,air density,kg m-3,
layer_thickness,layer_thickness,layer,layer thickness,m,
