var_code,varname,orig_varn,long_name,units,Note
emiterp,emiterp,emiterp,,kg/s/m2,
emiisop,emiisop,emiisop,,kg/s/m2,
loadsoa,loadsoa,loadsoa,,kg m-3,
loadoa,loadoa,loadoa,,kg m-2',
od350aer,od350aer,od350aer,,-,
od440aer,od440aer,od440aer,,-,
od550aer,od550aer,od550aer,,-,
od870aer,od870aer,od870aer,,-,
conc_NUS,conc_NUS,conc_NUS,,cm-3,
conc_AIS,conc_AIS,conc_AIS,,cm-3,
conc_ACS,conc_ACS,conc_ACS,,cm-3,
conc_COS,conc_COS,conc_COS,,cm-3,
conc_AII,conc_AII,conc_AII,,cm-3,
conc_ACI,conc_ACI,conc_ACI,,cm-3,
conc_COI,conc_COI,conc_COI,,cm-3,
N_NUS,N_NUS,N_NUS,,,
N_AIS,N_AIS,N_AIS,,1 m-3,
N_ACS,N_ACS,N_ACS,,1 m-3,
N_COS,N_COS,N_COS,,1 m-3,
N_AII,N_AII,N_AII,,1 m-3,
N_ACI,N_ACI,N_ACI,,1 m-3,
N_COI,N_COI,N_COI,,1 m-3,
RWET_NUS,RWET_NUS,RWET_NUS,,1 m-3,
RWET_AIS,RWET_AIS,RWET_AIS,,m,
RWET_ACS,RWET_ACS,RWET_ACS,,m,
RWET_COS,RWET_COS,RWET_COS,,m,
RWET_COS,RWET_COS,RWET_COS,,m,
RWET_COS,RWET_COS,RWET_COS,,m,
RWET_AII,RWET_AII,RWET_AII,,kg m-3,
RWET_ACI,RWET_ACI,RWET_ACI,,kg m-3,
RWET_COI,RWET_COI,RWET_COI,,kg m-3,
RWET_COI,RWET_COI,RWET_COI,,kg m-3,
RWET_COI,RWET_COI,RWET_COI,,kg m-3,
RDRY_NUS,RDRY_NUS,RDRY_NUS,,cm-3,
RDRY_AIS,RDRY_AIS,RDRY_AIS,,cm-,
RDY_ACS,RDY_ACS,RDY_ACS,,
RDRY_COS,RDRY_COS,RDRY_COS,,
GAS_SO2,GAS_SO2,GAS_SO2,,
GAS_OH,GAS_OH,GAS_OH,,
GAS_O3,GAS_O3,GAS_O3,,
CCN0.20,CCN0.20,CCN0.20,,
CCN1.00,CCN1.00,CCN1.00,,
